Name;Year;Type;Categorie;Sexe;Bow;Value
Junior Femme Bare Bow;2004;Campagne;J;F;BB;1288
Cadet Homme Bare Bow;2004;Campagne;C;H;BB;1220
Senior Femme Bare Bow;2004;Campagne;S;F;BB;1212
Senior Homme Bare Bow;2004;Campagne;S;H;BB;1210
Vétéran Femme Bare Bow;2004;Campagne;V;F;BB;1219
Vétéran Homme Bare Bow;2004;Campagne;V;H;BB;1215
Benjamin Femme Classique;2004;Campagne;B;F;CL;1285
Benjamin Homme Classique;2004;Campagne;B;H;CL;1286
Minime Femme Classique;2004;Campagne;M;F;CL;1213
Minime Homme Classique;2004;Campagne;M;H;CL;1209
Cadet Femme Classique;2004;Campagne;C;F;CL;1217
Cadet Homme Classique;2004;Campagne;C;H;CL;1221
Junior Femme Classique;2004;Campagne;J;F;CL;1206
Junior Homme Classique;2004;Campagne;J;H;CL;1208
Senior Femme Classique;2004;Campagne;S;F;CL;1203
Senior Homme Classique;2004;Campagne;S;H;CL;1205
Vétéran Femme Classique;2004;Campagne;V;F;CL;1218
Vétéran Homme Classique;2004;Campagne;V;H;CL;1214
Senior Homme Arc Droit;2004;Campagne;S;H;AD;1334
Minime Homme Arc Chasse;2004;Campagne;M;H;AC;1336
Senior Homme Arc Chasse;2004;Campagne;S;H;AC;1223
Vétéran Homme Arc Chasse;2004;Campagne;V;H;AC;1335
Junior Homme Poulies;2004;Campagne;J;H;CO;1216
Cadet Femme Poulies;2004;Campagne;C;F;CO;1287
Senior Femme Poulies;2004;Campagne;S;F;CO;1211
Senior Homme Poulies;2004;Campagne;S;H;CO;1207
Vétéran Femme Poulies;2004;Campagne;V;F;CO;1222
Vétéran Homme Poulies;2004;Campagne;V;H;CO;1204
Benjamin Femme Classique;2004;Nature;B;F;CL;1310
Benjamin Homme Classique;2004;Nature;B;H;CL;1153
Minime Femme Classique;2004;Nature;M;F;CL;1150
Minime Homme Classique;2004;Nature;M;H;CL;1154
Cadet Femme Classique;2004;Nature;C;F;CL;1156
Cadet Homme Classique;2004;Nature;C;H;CL;1157
Junior Femme Classique;2004;Nature;J;F;CL;1133
Junior Homme Classique;2004;Nature;J;H;CL;1139
Senior Femme Classique;2004;Nature;S;F;CL;1142
Senior Homme Classique;2004;Nature;S;H;CL;1138
Vétéran Femme Classique;2004;Nature;V;F;CL;1143
Vétéran Homme Classique;2004;Nature;V;H;CL;1147
Senior Femme Arc Droit;2004;Nature;S;F;AD;1141
Vétéran Homme Arc Droit;2004;Nature;V;H;AD;1146
Senior Homme Arc Chasse;2004;Nature;S;H;AC;1145
Vétéran Femme Arc Chasse;2004;Nature;V;F;AC;1140
Junior Homme Tir Libre;2004;Nature;J;H;AL;1137
Junior Femme Tir Libre;2004;Nature;J;F;AL;1312
Senior Femme Tir Libre;2004;Nature;S;F;AL;1132
Senior Homme Tir Libre;2004;Nature;S;H;AL;1136
Benjamin Femme Poulies;2004;Nature;B;F;CO;1311
Benjamin Homme Poulies;2004;Nature;B;H;CO;1152
Minime Femme Poulies;2004;Nature;M;F;CO;1149
Minime Homme Poulies;2004;Nature;M;H;CO;1151
Cadet Femme Poulies;2004;Nature;C;F;CO;1155
Cadet Homme Poulies;2004;Nature;C;H;CO;1158
Junior Femme Poulies;2004;Nature;J;F;CO;1131
Junior Homme Poulies;2004;Nature;J;H;CO;1135
Senior Femme Poulies;2004;Nature;S;F;CO;1130
Senior Homme Poulies;2004;Nature;S;H;CO;1134
Vétéran Femme Poulies;2004;Nature;V;F;CO;1148
Vétéran Homme Poulies;2004;Nature;V;H;CO;1144
Cadet Femme Bare Bow;2004;Fita;C;F;BB;1547
Super Vétéran Homme Bare Bow;2004;Fita;SV;H;BB;1553
Benjamin Femme Classique;2004;Fita;B;F;CL;1317
Benjamin Homme Classique;2004;Fita;B;H;CL;1289
Minime Femme Classique;2004;Fita;M;F;CL;1294
Minime Homme Classique;2004;Fita;M;H;CL;1295
Cadet Femme Classique;2004;Fita;C;F;CL;1290
Cadet Homme Classique;2004;Fita;C;H;CL;1291
Junior Femme Classique;2004;Fita;J;F;CL;1316
Junior Homme Classique;2004;Fita;J;H;CL;1292
Senior Femme Classique;2004;Fita;S;F;CL;1303
Senior Homme Classique;2004;Fita;S;H;CL;1301
Vétéran Femme Classique;2004;Fita;V;F;CL;1298
Vétéran Homme Classique;2004;Fita;V;H;CL;1299
Super Vétéran Femme Classique;2004;Fita;SV;F;CL;1318
Super Vétéran Homme Classique;2004;Fita;SV;H;CL;1296
Scratch Femme classique;2004;Fita;SC;F;CL;675
Scratch Homme classique;2004;Fita;SC;H;CL;676
Senior Homme Arc Droit;2004;Fita;S;H;AD;1552
Cadet Femme Poulies;2004;Fita;C;F;CO;1315
Junior Homme Poulies;2004;Fita;J;H;CO;1293
Senior Femme Poulies;2004;Fita;S;F;CO;1314
Senior Homme Poulies;2004;Fita;S;H;CO;1302
Vétéran Femme Poulies;2004;Fita;V;F;CO;1313
Vétéran Homme Poulies;2004;Fita;V;H;CO;1300
Super Vétéran Femme Poulies;2004;Fita;SV;F;CO;1319
Super Vétéran Homme Poulies;2004;Fita;SV;H;CO;1297
Scratch Femme poulies;2004;Fita;SC;F;CO;677
Scratch Homme poulies;2004;Fita;SC;H;CO;678
Benjamin Femme Classique;2005;Federal;B;F;CL;1352
Benjamin Homme Classique;2005;Federal;B;H;CL;1167
Minime Femme Classique;2005;Federal;M;F;CL;1183
Minime Homme Classique;2005;Federal;M;H;CL;1165
Cadet Femme Classique;2005;Federal;C;F;CL;1185
Cadet Homme Classique;2005;Federal;C;H;CL;1170
Junior Femme Classique;2005;Federal;J;F;CL;1169
Junior Homme Classique;2005;Federal;J;H;CL;1171
Senior Femme Classique;2005;Federal;S;F;CL;1172
Senior Homme Classique;2005;Federal;S;H;CL;1174
Vétéran Femme Classique;2005;Federal;V;F;CL;1173
Vétéran Homme Classique;2005;Federal;V;H;CL;1178
Super Vétéran Femme Classique;2005;Federal;SV;F;CL;1176
Super Vétéran Homme Classique;2005;Federal;SV;H;CL;1177
Junior Femme Poulies;2005;Federal;J;F;CO;1353
Junior Homme Poulies;2005;Federal;J;H;CO;1184
Senior Femme Poulies;2005;Federal;S;F;CO;1187
Senior Homme Poulies;2005;Federal;S;H;CO;1179
Vétéran Femme Poulies;2005;Federal;V;F;CO;1189
Vétéran Homme Poulies;2005;Federal;V;H;CO;1182
Super Vétéran Femme Poulies;2005;Federal;SV;F;CO;1354
Super Vétéran Homme Poulies;2005;Federal;SV;H;CO;1181
Junior Femme Bare Bow;2005;Campagne;J;F;BB;1242
Junior Homme Bare Bow;2005;Campagne;J;H;BB;1233
Senior Femme Bare Bow;2005;Campagne;S;F;BB;1234
Senior Homme Bare Bow;2005;Campagne;S;H;BB;1202
Vétéran Femme Bare Bow;2005;Campagne;V;F;BB;1228
Vétéran Homme Bare Bow;2005;Campagne;V;H;BB;1201
Scratch Femme Bare Bow;2005;Campagne;SC;F;BB;1247
Scratch Homme Bare Bow;2005;Campagne;SC;H;BB;1248
Benjamin Femme Classique;2005;Campagne;B;F;CL;1190
Benjamin Homme Classique;2005;Campagne;B;H;CL;1229
Minime Femme Classique;2005;Campagne;M;F;CL;1237
Minime Homme Classique;2005;Campagne;M;H;CL;1230
Cadet Femme Classique;2005;Campagne;C;F;CL;1231
Cadet Homme Classique;2005;Campagne;C;H;CL;1191
Junior Femme Classique;2005;Campagne;J;F;CL;1240
Junior Homme Classique;2005;Campagne;J;H;CL;1192
